epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,1913.91,1.12416,0.84692,1.18531,0.82415,0.80643,0.85642,0.59911,1.1854,0.81149,1.16537,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389
31,1977.37,1.11463,0.82685,1.17465,0.83192,0.79432,0.8526,0.60388,1.1537,0.80497,1.15779,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
32,2040.71,1.11257,0.82962,1.17542,0.83508,0.79595,0.85618,0.60549,1.16503,0.79944,1.15523,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231
33,2104.12,1.1125,0.82725,1.17381,0.83604,0.79216,0.85662,0.6088,1.16046,0.80166,1.15073,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
34,2167.65,1.10427,0.81495,1.17263,0.83399,0.81258,0.8597,0.61696,1.1322,0.78439,1.14078,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976
35,2231,1.08909,0.81046,1.16435,0.81614,0.79687,0.8487,0.6038,1.1539,0.81216,1.15865,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
36,2294.24,1.09381,0.80823,1.16254,0.82676,0.81139,0.86054,0.61629,1.14236,0.7787,1.14421,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725
37,2357.29,1.09056,0.80015,1.16272,0.82928,0.78555,0.85413,0.60891,1.15105,0.80993,1.15088,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761
38,2420.61,1.08225,0.79077,1.15443,0.82537,0.8147,0.86054,0.61731,1.13661,0.77874,1.14673,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588
39,2483.47,1.07301,0.78227,1.1531,0.83598,0.7983,0.86191,0.61891,1.13077,0.77734,1.13675,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222
40,2545.59,1.07236,0.7735,1.14942,0.84271,0.80583,0.86138,0.62252,1.13647,0.77251,1.14204,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675
41,2608.92,1.07766,0.77868,1.14962,0.83983,0.79029,0.85987,0.62064,1.12558,0.78309,1.13659,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
42,2671.18,1.06563,0.76867,1.14454,0.84419,0.79013,0.86124,0.6212,1.12792,0.78158,1.13361,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101
43,2731.95,1.06474,0.75883,1.14359,0.8225,0.80043,0.8566,0.62134,1.11214,0.78342,1.12977,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101
44,2794.42,1.05828,0.74924,1.13748,0.83048,0.79843,0.86609,0.6307,1.11555,0.77102,1.13184,0.0183894,0.00612981,0.0183894,0.00612981,0.0183894,0.00612981,0.0183894,0.00612981
45,2856.88,1.05317,0.74998,1.13807,0.82365,0.79713,0.85421,0.61927,1.11579,0.78024,1.13299,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754
46,2919.29,1.04563,0.73929,1.12903,0.83042,0.7803,0.85512,0.62248,1.11142,0.78708,1.13274,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435
47,2981.67,1.04568,0.74279,1.13338,0.83,0.79972,0.85953,0.62223,1.11213,0.77076,1.12862,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704
48,3044.2,1.03961,0.73182,1.12686,0.82693,0.79783,0.85856,0.62482,1.10723,0.76492,1.12928,0.0165475,0.00551584,0.0165475,0.00551584,0.0165475,0.00551584,0.0165475,0.00551584
49,3106.68,1.03258,0.72119,1.12428,0.84846,0.78489,0.86142,0.62759,1.09672,0.76126,1.12728,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081
